Feature_ID,description,group,group_name
TWEXAFEGSMTHx,Trade Weighted U.S. Dollar Index,6,Interest and Exchange Rate
EXSZUSx,Switzerland / U.S. Foreign Exchange Rate,6,Interest and Exchange Rate
EXJPUSx,Japan / U.S. Foreign Exchange Rate,6,Interest and Exchange Rate
EXUSUKx,U.S. / U.K. Foreign Exchange Rate,6,Interest and Exchange Rate
EXCAUSx,Canada / U.S. Foreign Exchange Rate,6,Interest and Exchange Rate
WPSFD49207,PPI: Finished Goods,7,Prices
WPSFD49502,PPI: Finished Consumer Goods,7,Prices
WPSID61,PPI: Intermediate Materials,7,Prices
WPSID62,PPI: Crude Materials,7,Prices
OILPRICEx,"Crude Oil, spliced WTI and Cushing",7,Prices
PPICMM,PPI: Metals and metal products:,7,Prices
CPIAUCSL,CPI : All Items,7,Prices
CPIAPPSL,CPI : Apparel,7,Prices
CPITRNSL,CPI : Transportation,7,Prices
CPIMEDSL,CPI : Medical Care,7,Prices
CUSR0000SAC,CPI : Commodities,7,Prices
CUSR0000SAD,CPI : Durables,7,Prices
CUSR0000SAS,CPI : Services,7,Prices
CPIULFSL,CPI : All Items Less Food,7,Prices
CUSR0000SA0L2,CPI : All items less shelter,7,Prices
CUSR0000SA0L5,CPI : All items less medical care,7,Prices
PCEPI,Personal Cons.  Expend.:  Chain Index,7,Prices
DDURRG3M086SBEA,Personal Cons.  Exp:  Durable goods,7,Prices
DNDGRG3M086SBEA,Personal Cons.  Exp:  Nondurable goods,7,Prices
DSERRG3M086SBEA,Personal Cons.  Exp:  Services,7,Prices
CES0600000008,Avg Hourly Earnings :  Goods-Producing,2,Labour Market
CES2000000008,Avg Hourly Earnings :  Construction,2,Labour Market
CES3000000008,Avg Hourly Earnings :  Manufacturing,2,Labour Market
UMCSENTx,Consumer Sentiment Index,4,"Consumption, orders and inventories"
DTCOLNVHFNM,Consumer Motor Vehicle Loans Outstanding,5,Money and Credit
DTCTHFNM,Total Consumer Loans and Leases Outstanding,5,Money and Credit
INVEST,Securities in Bank Credit at All Commercial Banks,5,Money and Credit
VIXCLSx,VIX,8,Stock Market
pi,Inflation,7,Prices
